ano;id;p2;p3;p5;p6;abord;p7_1;p7_1_1;p7_1_2;p7_1_3;p7_1_4;p7_1_5;p7_1_6;p7_1_7;p7_1_8;p7_1_9;p7_1_10;p7_1_11;p7_1_12;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_2_7;p7_2_8;p7_2_9;p7_2_10;p7_2_11;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p7_3_5;p7_3_6;p8_1;p8_2;p8_3;p8_4;p8_5;p8_6;p8_7;p9_1;p9_2;p9_3;p9_4;p9_5;p9_6;p9_7;p9_8;p9_9;p9_10;p10;p11;p12_1;p12_2;p12_3;p12_4;p12_5;p12_6;p12_7;p13_1;p13_2;p13_3;p14_1;p14_2;p14_3;p14_4;p14_5;p14_6;p14_7;p15_1;p15_2;p15_3;p15_4;p15_5;p15_6;p15_7;p15_8;p15_9;p15_10;p15_11;p15_12;p16;p17;p18;p19;peso
2023;62635851;Média;Sudeste;Analista de RH;De 100 a 499 funcionários;Educação Profissional;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;SENAC;SEBRAE;SENAT;Instituto Federal;nan;nan;nan;SEBRAE;nan;nan;nan;nan;nan;nan;nan;nan;nan;SEBRAE;NENHUMA / NÃO SABE;Parceria/trabalho com essa instituição/já utilizei ela/tenho menores aprendizes fazem cursos lá/tem colaboradores;Cursos na área da empresa/atende o nosso segmento/atende nossas demandas/atende as expectativas;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;Recomendada/é referência/é renomado/mais reconhecida/pelo nome/bem conceituado/nome que tem na região;Pelo retorno na empresa/quem passou por lá traz bons resultados;Maior qualidade/boa instituição/pela sua administração/é a melhor;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;Pronto atendimento/apoio às empresas/dá assessoria/são atenciosos/Atendimento de qualidade/dá suporte/vis técnicas;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Atende nossa necessidade/de acordo com o que precisamos/mais adequados as funções da empresa/específico p empresa;Parceria/trabalha com ele//contratamos por ele/convenio/trabalha com pessoas que estudaram lá/envia func p cursos.;nan;nan;Não sabe;5;4;5;4;5;4;5;4;5;3;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;0.89405
2023;62632891;Pequena;Sudeste;Assistente Departamento Pessoal/ Administrativo/ Auxiliar de DP/ Assistente Administrativo...;De 20 a 99 funcionários;Educação Profissional;SENAI;SENAC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;Unisal - Centro Universitário Salesiano;nan;nan;nan;nan;nan;SEBRAE;GRAU TÉCNICO;Instituto Federal;nan;nan;nan;nan;SENAI;SENAC;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Cursos técnicos/profissionalizantes/profissionaliza para mercado de trabalho/voltada p industria/formação profiss;Cursos na área da empresa/atende o nosso segmento/atende nossas demandas/atende as expectativas;Diversidade de cursos/gama de opções/cursos variados;Parceria/trabalho com essa instituição/já utilizei ela/tenho menores aprendizes fazem cursos lá/tem colaboradores;Inovação/atualizados, novas performances, novidades/mais atualizada/;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;nan;nan;nan;nan;nan;nan;Não sabe;5;5;5;5;5;5;5;5;5;5;5;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.32708
2023;62632294;Pequena;Sul;Analista de RH;De 20 a 99 funcionários;Educação Superior;SENAC;SENAI;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;PUC;ESTÁCIO;Instituto Federal;nan;nan;nan;nan;PUC;Instituto Federal;nan;nan;nan;nan;nan;nan;nan;nan;PUC;NENHUMA / NÃO SABE;Tradição/muitos anos no mercado/tempo de vida/pelo histórico;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Credibilidade/confiável;nan;nan;nan;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;nan;nan;nan;nan;nan;nan;5;4;5;5;5;4;5;4;5;4;4;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;1.26027
2023;62631909;Grande;Sul;Coordenador de RH/ DHO / Coordenador de DHO /Coordenadora de Treinamento/ Supevisor de RH;500 ou mais funcionários;Educação Superior;SESI;SENAI;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;SENAC;PUC;Instituto Federal;nan;nan;nan;nan;SENAC;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAC;NENHUMA / NÃO SABE;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;Cursos técnicos/profissionalizantes/profissionaliza para mercado de trabalho/voltada p industria/formação profiss;Ensina na prática/tem mais a parte prática/teoria e prática;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Profissionais que trabalham lá são renomados/bons profissionais;Parceria/trabalho com essa instituição/já utilizei ela/tenho menores aprendizes fazem cursos lá/tem colaboradores;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Atende nossa necessidade/de acordo com o que precisamos/mais adequados as funções da empresa/específico p empresa;nan;nan;nan;nan;nan;5;5;5;5;5;5;5;5;5;5;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;0.40463
2023;62635647;Pequena;Sul;Analista de RH;De 20 a 99 funcionários;Educação Profissional e Educação Superior;SENAI;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAC;SENAI;nan;nan;nan;nan;nan;Instituto Federal;nan;nan;nan;nan;nan;nan;SENAC;nan;nan;nan;nan;nan;nan;nan;nan;nan;Instituto Federal;NENHUMA / NÃO SABE;Profissionais que trabalham lá são renomados/bons profissionais;Boa qualificação do corpo docente/professores tem doutorado/quadro docente primeira linha/professores capacitados;Diversidade de cursos/gama de opções/cursos variados;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Maior qualidade/boa instituição/pela sua administração/é a melhor;Credibilidade/confiável;nan;nan;nan;nan;Qualidade/excelência;nan;nan;nan;nan;nan;nan;5;4;5;5;5;3;5;4;4;3;4;5;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.26027
2023;62633217;Pequena;Sudeste;Coordenador de RH/ DHO / Coordenador de DHO /Coordenadora de Treinamento/ Supevisor de RH;De 20 a 99 funcionários;Educação Profissional e Educação Superior;SENAI;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;FGV;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;ANHANGUERA;Outras;nan;nan;nan;nan;nan;SENAC;Instituto Federal;nan;nan;nan;nan;nan;SENAC;nan;nan;nan;nan;nan;nan;nan;nan;nan;Instituto Federal;NENHUMA / NÃO SABE;Boa qualificação do corpo docente/professores tem doutorado/quadro docente primeira linha/professores capacitados;Profissionais que trabalham lá são renomados/bons profissionais;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Inovação/atualizados, novas performances, novidades/mais atualizada/;Cursos técnicos/profissionalizantes/profissionaliza para mercado de trabalho/voltada p industria/formação profiss;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;Atende nossa necessidade/de acordo com o que precisamos/mais adequados as funções da empresa/específico p empresa;Atende certas áreas de trabalho sem a necessidade de ter nível superior;nan;nan;nan;nan;1;3;5;5;4;4;5;3;4;5;1;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.32708
2023;62633170;Média;Nordeste;Técnico Segurança/ Técnico Segurança do Trabalho;De 20 a 99 funcionários;Educação Profissional;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;SENAI;SENAC;SEBRAE;SENAT;GRAU TÉCNICO;Instituto Federal;nan;SENAI;SENAC;SENAT;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Curso superior;Boa qualificação do corpo docente/professores tem doutorado/quadro docente primeira linha/professores capacitados;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Inovação/atualizados, novas performances, novidades/mais atualizada/;Maior qualidade/boa instituição/pela sua administração/é a melhor;Boa estrutura/ex: laboratório, material, equipamentos, tecnologia, mais salas, etc;nan;nan;nan;nan;Qualidade/excelência;Estrutura/ex: laboratórios, sala, equipamentos, material didático, etc;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;Qualidade de ensino/bons cursos/método de ensino/certificado reconhecido pelo MEC/completos em disciplina;nan;nan;nan;5;5;5;5;5;5;5;4;5;5;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;0.87919
2023;62633544;Pequena;Sudeste;Coordenador de RH/ DHO / Coordenador de DHO /Coordenadora de Treinamento/ Supevisor de RH;De 20 a 99 funcionários;Educação Profissional e Educação Superior;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;UNINOVE;METODISTA;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;METODISTA;UNINOVE;nan;nan;nan;nan;SENAC;PAULA SOUZA;Instituto Federal;nan;nan;nan;nan;SENAC;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Professores bons/profissionais capacitados para ensinar;Menor aprendiz/capacitação de jovens;Tradição/antiga/há muitos anos no mercado/tem anos de experiência no mercado/o histórico da instituição/pioneira;Reconhecida/forte na região/referência/escola renomada, conceituada/boa aceitação/certificado de relevância;Bons profissionais/quadro de profissionais com experiência/profissionalismo;nan;nan;5;5;5;5;5;5;5;5;5;5;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;1.32708
2023;62642718;Média;Sul;Coordenador de RH/ DHO / Coordenador de DHO /Coordenadora de Treinamento/ Supevisor de RH;De 100 a 499 funcionários;Educação Profissional;SENAI;SESI;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;SESI;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;SESI;nan;nan;nan;nan;nan;SENAC;SEBRAE;Instituto Federal;nan;nan;nan;nan;SENAI;SEBRAE;SESI;nan;nan;nan;nan;nan;nan;nan;SESI;NENHUMA / NÃO SABE;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;Cursos técnicos/profissionalizantes/profissionaliza para mercado de trabalho/voltada p industria/formação profiss;Diversidade de cursos/gama de opções/cursos variados;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Mais conhecida/mais falada/eu conheço/tem maior divulgação/é a mais procurada/popularidade/;Recomendada/é referência/é renomado/mais reconhecida/pelo nome/bem conceituado/nome que tem na região;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Atende nossa necessidade/de acordo com o que precisamos/mais adequados as funções da empresa/específico p empresa;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;nan;nan;nan;nan;4;5;4;4;3;4;3;5;5;4;4;4;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;0.92925
2023;62642716;Grande;Sudeste;Gerente de DP/ Administrativo/ Chefe DP/ Gerente Administrativo/ Gerente Geral/ Lider de processo adm;500 ou mais funcionários;Educação Profissional;SESI;SENAI;SENAC;Sesc;nan;nan;nan;nan;nan;nan;nan;nan;nan;FACULDADE ALFA;Outras;UNICESUMAR;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;SESI;nan;nan;nan;nan;nan;SEBRAE;SENAT;Instituto Federal;nan;nan;nan;nan;SENAI;SENAC;SEBRAE;Instituto Federal;SESI;Sesc;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;Cursos na área da empresa/atende o nosso segmento/atende nossas demandas/atende as expectativas;Ensina na prática/tem mais a parte prática/teoria e prática;Pelo retorno na empresa/quem passou por lá traz bons resultados;Diversidade de cursos/gama de opções/cursos variados;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;Atende nossa necessidade/de acordo com o que precisamos/mais adequados as funções da empresa/específico p empresa;Boa formação prática/colocar a teoria na prática /oferece teoria e prática;Parceria/trabalha com ele//contratamos por ele/convenio/trabalha com pessoas que estudaram lá/envia func p cursos.;nan;nan;Não sabe;4;5;4;5;4;5;5;5;4;5;5;Certamente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;NÃO LER: Não sei se contrataria ou não;NÃO LER: Não sei se contrataria ou não;0.33274
2023;62642775;Pequena;Sul;Analista de RH;De 20 a 99 funcionários;Educação Profissional e Educação Superior;SENAI;STEC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;ESTÁCIO;STEC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;CRUZEIRO DO SUL;ESTÁCIO;nan;nan;nan;nan;nan;SENAC;Instituto Federal;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;Instituto Federal;NENHUMA / NÃO SABE;Menor aprendiz /formação dos jovens;Parceria/trabalho com essa instituição/já utilizei ela/tenho menores aprendizes fazem cursos lá/tem colaboradores;Boa qualificação do corpo docente/professores tem doutorado/quadro docente primeira linha/professores capacitados;Boa estrutura/ex: laboratório, material, equipamentos, tecnologia, mais salas, etc;Experiência própria/pela experiência que tivemos (sem especificar);nan;nan;nan;nan;nan;Já foi uma instituição boa;Preço alto;Jovens que são contratados tem problemas de comportamento e baixo desempenho;nan;nan;nan;nan;Não sabe;5;2;4;2;4;4;Não sabe;5;5;Não sabe;2;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente não contrataria seus serviços;Provavelmente poderia contratar estes profissionais;1.26027
2023;62638726;Grande;Centro-Oeste;Coordenador de RH/ DHO / Coordenador de DHO /Coordenadora de Treinamento/ Supevisor de RH;500 ou mais funcionários;Educação Profissional;SESI;SENAI;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;UFG;UNOPAR;UNICESUMAR;nan;nan;nan;nan;nan;nan;nan;nan;nan;SESI;SENAI;UNOPAR;UFG;UNICESUMAR;nan;nan;SENAC;SEBRAE;SENAT;Instituto Federal;nan;nan;nan;SENAI;SENAT;Instituto Federal;SESI;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Inovação/atualizados, novas performances, novidades/mais atualizada/;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Maior qualidade/boa instituição/pela sua administração/é a melhor;Boa estrutura/ex: laboratório, material, equipamentos, tecnologia, mais salas, etc;Recomendada/é referência/é renomado/mais reconhecida/pelo nome/bem conceituado/nome que tem na região;Por ser federal/é federal;nan;nan;nan;nan;Qualidade de ensino/bons cursos/método de ensino/certificado reconhecido pelo MEC/completos em disciplina;Bons profissionais/quadro de profissionais com experiência/profissionalismo;Pronto atendimento/apoio às empresas/dá assessoria/são atenciosos/Atendimento de qualidade/dá suporte/vis técnicas;Disposição;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Parceria/trabalha com ele//contratamos por ele/convenio/trabalha com pessoas que estudaram lá/envia func p cursos.;nan;2;5;5;5;5;5;5;5;5;5;2;5;Certamente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;0.28669
2023;62642798;Grande;Sul;Especialista de RH / Consultor de Segurança do Trabalho;De 100 a 499 funcionários;Educação Superior;Mecatec - empresa de confeções de roupas p/esportes;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;UCS;FGV;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;SENAC;nan;nan;nan;nan;nan;UNIP;PUC;ANHANGUERA;ESTÁCIO;Instituto Federal;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;PUC;NENHUMA / NÃO SABE;Profissionais que trabalham lá são renomados/bons profissionais;Inovação/atualizados, novas performances, novidades/mais atualizada/;Bom atendimento/tem mais contato/fácil dialogar/disponível no atendimento/dão suporte/orientam/faz visitas;Diversidade de cursos/gama de opções/cursos variados;Informações/site tem informações claras/informações completas;nan;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Menor aprendiz/capacitação de jovens;Parceria/trabalha com ele//contratamos por ele/convenio/trabalha com pessoas que estudaram lá/envia func p cursos.;nan;nan;nan;nan;3;5;5;5;4;5;3;5;4;4;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;0.40463
2023;62642797;Grande;Centro-Oeste;Coordenador de RH/ DHO / Coordenador de DHO /Coordenadora de Treinamento/ Supevisor de RH;500 ou mais funcionários;Educação Superior;SESI;SENAI;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SESI;SENAI;nan;nan;nan;nan;nan;SENAC;UNIP;PUC;ANHANGUERA;ESTÁCIO;Instituto Federal;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;PUC;NENHUMA / NÃO SABE;Bom atendimento/tem mais contato/fácil dialogar/disponível no atendimento/dão suporte/orientam/faz visitas;Mais conhecida/mais falada/eu conheço/tem maior divulgação/é a mais procurada/popularidade/;Por ser federal/é federal;Informações/site tem informações claras/informações completas;nan;nan;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Atende nossa necessidade/de acordo com o que precisamos/mais adequados as funções da empresa/específico p empresa;Gera empregos/inclusão das pessoas no mercado de trabalho/disponibilidade de alunos para estágio/saem empregado;nan;nan;nan;nan;1;5;5;5;4;5;4;4;4;4;1;4;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente não contrataria seus serviços;Certamente poderia contratar estes profissionais;0.28669
2023;62632620;Média;Sudeste;Gerente de RH/ DHO / Gerente de Desenvolvimento Humano;De 100 a 499 funcionários;Educação Superior;SESI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;PUC;UNICAMP;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;SESI;PUC;ANHANGUERA;UNICAMP;nan;nan;nan;SENAI;SENAC;UNIP;ANHANGUERA;nan;nan;nan;SENAI;UNIP;PUC;ANHANGUERA;UNICAMP;nan;nan;nan;nan;nan;PUC;NENHUMA / NÃO SABE;Tradição/muitos anos no mercado/tempo de vida/pelo histórico;É grande;Bom atendimento/tem mais contato/fácil dialogar/disponível no atendimento/dão suporte/orientam/faz visitas;Maior qualidade/boa instituição/pela sua administração/é a melhor;nan;nan;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Atende nossa necessidade/de acordo com o que precisamos/mais adequados as funções da empresa/específico p empresa;Parceria/trabalha com ele//contratamos por ele/convenio/trabalha com pessoas que estudaram lá/envia func p cursos.;nan;nan;nan;nan;4;4;4;5;4;5;5;4;4;4;4;5;Provavelmente contrataria seus serviços;Certamente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;0.89405
2023;62642974;Grande;Nordeste;Analista de RH;500 ou mais funcionários;Educação Profissional;SENAI;SENAC;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;Outras;nan;nan;nan;nan;nan;SEBRAE;SENAT;GRAU TÉCNICO;Instituto Federal;nan;nan;nan;SENAI;SENAC;SENAT;GRAU TÉCNICO;Outras;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Diversidade de cursos/gama de opções/cursos variados;Cursos na área da empresa/atende o nosso segmento/atende nossas demandas/atende as expectativas;Parceria/trabalho com essa instituição/já utilizei ela/tenho menores aprendizes fazem cursos lá/tem colaboradores;Cursos técnicos/profissionalizantes/profissionaliza para mercado de trabalho/voltada p industria/formação profiss;nan;nan;nan;nan;nan;nan;Professores bons/profissionais capacitados para ensinar;nan;nan;nan;nan;nan;nan;3;4;4;5;4;4;4;3;5;4;3;5;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;0.39709
2023;62642975;Pequena;Sul;Gerente de RH/ DHO / Gerente de Desenvolvimento Humano;De 100 a 499 funcionários;Educação Profissional e Educação Superior;SENAI;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;ANHANGUERA;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;ANHANGUERA;Outras;nan;nan;nan;nan;nan;SENAC;Instituto Federal;nan;nan;nan;nan;nan;Instituto Federal;ANHANGUERA;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Parceria/trabalha com ele//contratamos por ele/convenio/trabalha com pessoas que estudaram lá/envia func p cursos.;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;nan;nan;nan;nan;nan;4;5;5;4;4;5;4;4;4;5;5;4;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.26027
2023;62642978;Pequena;Sul;Analista de DP/ Adm/ Processos/ Analista Administrativo/ Analista de processos organizacionais;De 20 a 99 funcionários;Educação Profissional;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;ANHANGUERA;MACKENZIE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAC;SENAI;nan;nan;nan;nan;nan;SEBRAE;Instituto Federal;nan;nan;nan;nan;nan;SENAI;Instituto Federal;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Cursos técnicos/profissionalizantes/profissionaliza para mercado de trabalho/voltada p industria/formação profiss;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;Cursos na área da empresa/atende o nosso segmento/atende nossas demandas/atende as expectativas;Diversidade de cursos/gama de opções/cursos variados;nan;nan;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;nan;nan;nan;nan;nan;nan;3;3;5;5;5;4;5;4;4;5;3;5;Certamente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.26027
2023;62638346;Pequena;Sul;Departamento Pessoal / Adm Geral;De 100 a 499 funcionários;Educação Profissional;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;SENAC;SEBRAE;Instituto Federal;nan;nan;nan;nan;SENAI;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;É a única na cidade/não conheço outras por causa da localização/única que conheço/única que trabalhei/tive cont;Rapidez no processo;Atendimento rápido/respondem rápido;Cursos mais rápidos/aprendizado mais ágil/cursos curtos;Rápidos;nan;nan;nan;nan;nan;Variedade de cursos;nan;nan;nan;nan;nan;nan;5;5;5;5;5;5;5;5;5;5;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;1.26027
